a1,a2,a3,a4,p
1,2,2,1,10
0,2,3,2,5
0,1,1,2,15
0,0,3,2,2
0,3,2,3,12
2,1,3,2,7
2,2,1,1,4
2,1,3,2,15
1,1,2,1,9
1,0,2,1,9
0,1,2,3,10
3,2,0,3,4
3,2,1,0,1
1,1,2,1,15
0,2,2,1,2
1,2,2,1,2
2,1,2,1,7
1,0,1,2,15
1,0,3,1,9
1,3,2,1,15
2,2,3,3,5
2,3,1,2,2
3,3,3,0,13
3,1,2,3,12
0,1,3,1,9
0,2,3,3,8
2,1,2,3,11
3,2,1,2,13
0,2,1,2,10
1,2,2,2,5
2,0,1,1,11
2,0,3,2,15
1,0,1,0,10
1,3,2,1,7
3,2,1,1,14
2,3,2,0,1
1,1,3,0,14
1,2,3,1,1
3,2,1,2,13
1,2,2,2,7
1,3,2,0,1
2,3,1,1,7
1,0,1,0,1
3,3,3,2,7
1,3,1,1,14
0,2,0,2,11
2,1,0,2,10
2,3,3,3,9
1,1,1,0,14
2,0,2,0,1
2,1,0,3,15
1,1,1,1,16
1,1,1,1,6
1,1,0,2,8
0,3,3,1,6
0,2,3,3,4
0,2,1,2,11
2,2,2,1,7
1,1,2,2,14
3,3,2,2,15
2,2,1,1,7
2,2,1,3,4
2,0,2,1,3
3,2,1,2,13
0,0,1,1,12
1,1,1,1,15
1,1,1,1,11
2,2,1,2,13
2,1,2,3,2
3,0,1,1,11
3,1,2,1,13
2,2,1,2,12
1,2,0,1,4
2,1,1,1,4
2,0,1,1,7
1,2,1,0,9
0,2,1,2,11
1,1,1,2,14
2,1,2,1,14
1,2,1,2,12
2,1,1,2,14
1,2,1,3,7
0,3,1,3,11
2,0,2,1,3
0,2,0,1,7
0,2,1,3,1
0,2,2,2,11
1,1,1,2,4
1,2,1,1,3
1,1,0,0,11
3,1,2,1,12
2,0,1,1,13
0,3,3,2,9
2,1,2,2,12
3,2,1,1,12
1,2,3,0,12
3,0,3,2,4
1,2,1,3,11
3,0,3,0,14
5,1,2,2,13
